,Unnamed: 0,Name,Lat,Lng,Address,Distance
126,126,ALDI,41.5228571,-81.4374651,"1385 Som Center Rd, Mayfield Heights",20.64
127,127,ALDI,41.2550913,-80.8582324,"2774 Parkman Rd NW, Warren",27.67
128,128,ALDI,41.39000479999999,-81.43570229999999,"6217 Som Center Rd, Solon",25.24
129,129,ALDI,40.901098600000005,-81.1417215,"2150 W State St, Alliance",50.20
130,130,ALDI,41.1566858,-81.2209904,"1350 E Main St, Ravenna",33.39
131,131,ALDI,41.145275,-80.6636955,"3497 Belmont Ave, Youngstown",39.07
132,132,ALDI,41.0987061,-80.7722433,"5863 Mahoning Ave, Austintown",39.36
133,133,ALDI,41.031319599999996,-80.6352161,"6600 South Ave, Boardman",46.63
134,134,ALDI,40.9003341,-80.8248,"2495 E State St, Salem",51.58
135,135,Whole Foods Market,41.449988,-81.48507159999998,"50 Wall St, Orange",24.99
136,136,Whole Foods Market 365,41.1109081,-81.5711638,"1745 W Market St, Akron",44.25
137,137,Whole Foods Market,41.4787471,-81.8396406,"19607 Detroit Rd, Rocky River",41.44
138,138,Whole Foods Market,41.5008761,-81.5368584,"13998 Cedar Rd, University Heights",25.99
139,139,Whole Foods Market,41.463355,-81.486312,"27249 Chagrin Blvd, Woodmere",24.61
140,140,Berry's Natural Food Market,41.101479600000005,-80.73253299999999,"4405 Mahoning Ave, Youngstown",40.02
141,141,Marc's Stores,40.8319305,-81.38161159999999,"3014 Cromer Ave NW, Canton",57.26
142,142,Marc's Stores,41.399600899999996,-82.111492,"435 Midway Blvd, Elyria",56.47
143,143,Marc's Stores,41.298671999999996,-81.836802,"16224 Pearl Rd, Strongsville",46.01
144,144,Marc's Stores,41.4170598,-81.91595,"26393 Great Northern Shop Center, North Olmsted",46.44
145,145,Marc's,41.46955870000001,-81.9125595,"26400 Detroit Rd, Westlake",45.26
146,146,Marc's Stores,41.52108870000001,-81.5171949,"4519 Mayfield Rd, South Euclid",24.59
147,147,Marc's Stores,41.457693299999995,-81.85974909999999,"21661 Center Ridge Road Westwood Shopping Plaza, Rocky River",42.83
148,148,Marc's Stores,41.398374,-81.595173,"12650 Rockside Rd, Garfield Heights",31.71
149,149,Marc's Stores,41.165723,-81.44143299999999,"3732 Darrow Rd, Stow",37.33
150,150,Marc's Stores,41.396814,-82.00410500000001,"34800 Center Ridge Rd, North Ridgeville",51.22
151,151,Marc's Stores,41.4063737,-81.6934057,"1650 Snow Rd #295, Parma",35.98
152,152,Marc's,41.4231914,-81.7393519,"7359 Northcliff Ave, Brooklyn",37.70
153,153,Marc's Stores,41.3887631,-81.4354475,"6231 Som Center Rd, Solon",25.29
154,154,Marc's Stores,41.150560999999996,-81.510638,"2900 State Rd, Cuyahoga Falls",40.19
155,155,Marc's Stores,41.1366669,-81.35712779999999,"1600 S Water St, Kent",37.05
156,156,Marc's Stores,40.814144,-81.517488,"1413 Amherst Rd NE, Massillon",60.82
157,157,Marc's Stores,41.116686,-81.478218,"470 Howe Ave, Cuyahoga Falls",41.22
158,158,Marc's Stores,40.897214,-81.40437299999999,"1664 N Main St, North Canton",53.34
159,159,Marc's Stores,41.455483,-81.78604399999999,"13693 Lorain Ave, Cleveland",39.22
160,160,Marc's Stores,41.125772,-81.60242099999999,"2753 W Market St, Fairlawn",44.43
161,161,Marc's Stores,41.612325,-81.521565,"22840 Lakeshore Blvd, Euclid",23.74
162,162,Marc's Stores,41.3188802,-81.6247427,"7510 Chippewa Rd, Brecksville",35.99
163,163,Marc's Stores,41.315971000000005,-81.356852,"300 Aurora Commons Cir, Aurora",26.24
164,164,Marc's Stores,41.585136,-81.48257590000001,"28121 Chardon Rd, Willoughby Hills",21.89
165,165,Marc's Stores,41.3132527,-81.55814570000001,"550 W Aurora Rd, Northfield",33.51
166,166,Marc's Stores,41.634077000000005,-81.476434,"29700 Lakeshore Blvd, Willowick",21.39
167,167,Marc's Stores,41.50944439999999,-81.5797222,"1833 Coventry Rd, Cleveland Heights",27.91
168,168,Marc's Stores,41.6536134,-81.3787439,"7353 Mentor Ave, Mentor",16.46
169,169,Marc's Stores,41.204802,-80.741925,"6024 Youngstown Warren Rd, Niles",33.45
170,170,Marc's Stores,41.697269,-81.276771,"1585 Mentor Ave, Painesville",12.14
171,171,Marc's Stores,41.525084,-81.43758000000001,"6695 Eastgate Drive Eastgate Shopping Plaza, Mayfield Heights",20.59
172,172,Marc's Stores,41.5789499,-81.2110951,"425 Water St, Chardon",8.32
173,173,Marc's Stores,41.710157,-81.35923199999999,"5929 Andrews Rd, Mentor-On-The-Lake",16.41
174,174,Marc's Stores,41.80102,-81.054695,"6576 N Ridge Rd, Madison",12.16
175,175,Marc's Stores,41.026832,-80.62867299999999,"7121 Tiffany Blvd, Youngstown",47.07
176,176,Marc's Stores,41.099588,-80.742662,"4755 Mahoning Ave, Austintown",39.92
177,177,Marc's Stores,40.900967,-81.150723,"2444 W State St, Alliance",50.24
178,178,Marc's Stores,41.1583981,-81.22470009999999,"1145 E Main St, Ravenna",33.33
179,179,Marc's Stores,40.899337100000004,-80.8248773,"2487 E State St, Salem",51.64
180,180,Save A Lot,41.0568335,-81.5302309,"25 W Miller Ave, Akron",46.16
181,181,Save A Lot,41.1016892,-81.49609040000001,"530 E Tallmadge Ave, Akron",42.59
182,182,Save A Lot,41.0283333,-81.7302778,"204-208 High St, Wadsworth",53.86
183,183,Save A Lot,41.083506299999996,-81.5717979,"1375 Copley Rd, Akron",45.81
184,184,Save A Lot,40.797305,-81.52664240000001,"266 Federal Ave NE, Massillon",62.08
185,185,Save A Lot,40.799106,-81.382289,"906 W Tuscarawas St W, Canton",59.45
186,186,Save A Lot,40.8228935,-81.93110279999999,"1945 B, Cleveland Rd, Wooster",71.49
187,187,Save A Lot,41.4311111,-81.7919444,"14041 Puritas Ave, Cleveland",40.05
188,188,Save A Lot,41.4419861,-81.722847,"4215 Fulton Rd, Cleveland",36.43
189,189,Save A Lot,41.3796816,-81.7336005,"6805 Ridge Rd, Parma",38.65
190,190,Save A Lot,41.1404686,-81.3601532,"1430 S Water St, Kent",36.87
191,191,Save A Lot,41.3724787,-82.093351,"125 Cleveland St, Elyria",56.14
192,192,Save A Lot,40.90250579999999,-81.0910172,"1110 E State St Unit 2, Alliance",49.95
193,193,Save A Lot,41.4659669,-81.648604,"5841 Broadway Ave, Cleveland",32.25
194,194,Save A Lot,41.4296843,-81.6158241,"4790 Turney Rd, Garfield Heights",31.65
195,195,Save A Lot,41.5408726,-81.5982699,"12432 St Clair Ave, Cleveland",28.30
196,196,Save A Lot,41.4647217,-81.58202359999999,"14301 Kinsman Rd, Cleveland",29.07
197,197,Save A Lot,41.425,-82.1186111,"2222 Fairless Dr, Lorain",56.36
198,198,Save A Lot,41.3998222,-81.59586329999999,"12782 Rockside Rd, Garfield Heights",31.69
199,199,Save A Lot,41.518682,-81.6381205,"7210 Superior Ave, Cleveland",30.66
200,200,Save A Lot,41.8932255,-80.80377800000001,"822 Lake Ave, Ashtabula",22.82
201,201,Save A Lot,41.5939785,-81.49297109999999,"27591 Euclid Ave, Euclid",22.35
202,202,Save A Lot,41.700148999999996,-81.27641659999999,"1475 Mentor Ave, Painesville",12.21
