Store Name,Lat,Lng,Address
Marc's Stores,41.1366669,-81.35712779999999,"1600 S Water St, Kent"
Marc's Stores,40.814144,-81.517488,"1413 Amherst Rd NE, Massillon"
Marc's Stores,41.116686,-81.478218,"470 Howe Ave, Cuyahoga Falls"
Marc's Stores,40.897214,-81.40437299999999,"1664 N Main St, North Canton"
Marc's Stores,41.455483,-81.78604399999999,"13693 Lorain Ave, Cleveland"
Marc's Stores,41.125772,-81.60242099999999,"2753 W Market St, Fairlawn"
Marc's Stores,41.612325,-81.521565,"22840 Lakeshore Blvd, Euclid"
Marc's Stores,41.3188802,-81.6247427,"7510 Chippewa Rd, Brecksville"
Marc's Stores,41.315971000000005,-81.356852,"300 Aurora Commons Cir, Aurora"
Marc's Stores,41.585136,-81.48257590000001,"28121 Chardon Rd, Willoughby Hills"
Marc's Stores,41.3132527,-81.55814570000001,"550 W Aurora Rd, Northfield"
Marc's Stores,41.634077000000005,-81.476434,"29700 Lakeshore Blvd, Willowick"
Marc's Stores,41.50944439999999,-81.5797222,"1833 Coventry Rd, Cleveland Heights"
Marc's Stores,41.6536134,-81.3787439,"7353 Mentor Ave, Mentor"
Marc's Stores,41.204802,-80.741925,"6024 Youngstown Warren Rd, Niles"
Marc's Stores,41.697269,-81.276771,"1585 Mentor Ave, Painesville"
Marc's Stores,41.525084,-81.43758000000001,"6695 Eastgate Drive Eastgate Shopping Plaza, Mayfield Heights"
Marc's Stores,41.5789499,-81.2110951,"425 Water St, Chardon"
Marc's Stores,41.710157,-81.35923199999999,"5929 Andrews Rd, Mentor-On-The-Lake"
Marc's Stores,41.80102,-81.054695,"6576 N Ridge Rd, Madison"
Marc's Stores,41.026832,-80.62867299999999,"7121 Tiffany Blvd, Youngstown"
Marc's Stores,41.099588,-80.742662,"4755 Mahoning Ave, Austintown"
Marc's Stores,40.900967,-81.150723,"2444 W State St, Alliance"
Marc's Stores,41.1583981,-81.22470009999999,"1145 E Main St, Ravenna"
Marc's Stores,40.899337100000004,-80.8248773,"2487 E State St, Salem"
Save A Lot,41.0568335,-81.5302309,"25 W Miller Ave, Akron"
Save A Lot,41.1016892,-81.49609040000001,"530 E Tallmadge Ave, Akron"
Save A Lot,41.0283333,-81.7302778,"204-208 High St, Wadsworth"
Save A Lot,41.083506299999996,-81.5717979,"1375 Copley Rd, Akron"
Save A Lot,40.797305,-81.52664240000001,"266 Federal Ave NE, Massillon"
Save A Lot,40.799106,-81.382289,"906 W Tuscarawas St W, Canton"
Save A Lot,40.8228935,-81.93110279999999,"1945 B, Cleveland Rd, Wooster"
Save A Lot,41.4311111,-81.7919444,"14041 Puritas Ave, Cleveland"
Save A Lot,41.4419861,-81.722847,"4215 Fulton Rd, Cleveland"
Save A Lot,41.3796816,-81.7336005,"6805 Ridge Rd, Parma"
Save A Lot,41.1404686,-81.3601532,"1430 S Water St, Kent"
Save A Lot,41.3724787,-82.093351,"125 Cleveland St, Elyria"
Save A Lot,40.90250579999999,-81.0910172,"1110 E State St Unit 2, Alliance"
Save A Lot,41.4659669,-81.648604,"5841 Broadway Ave, Cleveland"
Save A Lot,41.4296843,-81.6158241,"4790 Turney Rd, Garfield Heights"
Save A Lot,41.5408726,-81.5982699,"12432 St Clair Ave, Cleveland"
Save A Lot,41.4647217,-81.58202359999999,"14301 Kinsman Rd, Cleveland"
Save A Lot,41.425,-82.1186111,"2222 Fairless Dr, Lorain"
Save A Lot,41.3998222,-81.59586329999999,"12782 Rockside Rd, Garfield Heights"
Save A Lot,41.518682,-81.6381205,"7210 Superior Ave, Cleveland"
Save A Lot,41.8932255,-80.80377800000001,"822 Lake Ave, Ashtabula"
Save A Lot,41.5939785,-81.49297109999999,"27591 Euclid Ave, Euclid"
Save A Lot,41.700148999999996,-81.27641659999999,"1475 Mentor Ave, Painesville"
Save A Lot,41.642978,-81.448577,"33693 E, Vine St, Eastlake"
Save A Lot,41.4611784,-81.0870208,"15561 W High St, Middlefield"
Save A Lot,41.2834675,-80.8453179,"4329a Mahoning Ave NW, Warren"
Save A Lot,41.212432299999996,-80.7464718,"912 Great E Plaza, Niles"
Save A Lot,41.2456887,-80.81727629999999,"1020 N Park Ave, Warren"
Save A Lot,41.537997999999995,-81.554937,"2227 Noble Rd, Cleveland Heights"
Save A Lot,41.415223600000004,-81.57091080000001,"15870 Broadway Ave, Maple Heights"
Save A Lot,41.448367100000006,-81.6446574,"6501 Harvard Ave, Cleveland"
Save A Lot,41.4344013,-81.5249277,"21900 Emery Rd, North Randall"
Save A Lot,41.582222200000004,-81.54888890000001,"18501 Neff Rd, Cleveland"
Save A Lot,41.933693299999995,-80.6041181,"350 W Main Rd, Conneaut"
Save A Lot,41.071745299999996,-80.645709,"2725 South Ave, Youngstown"
Save A Lot,41.0235111,-80.6693647,"223 Boardman-Canfield Rd, Youngstown"
Save A Lot,41.08272120000001,-80.7302768,"1715 S Raccoon Rd, Austintown"
Save A Lot,41.132619500000004,-80.6630203,"653 Gypsy Ln, Youngstown"
Save A Lot,41.0905376,-80.593879,"2998 Mc Cartney Rd, Youngstown"
Save A Lot,41.0444592,-80.60249759999999,"982 5th St, Struthers"
Save A Lot,41.1576011,-80.5840288,"880 W Liberty St, Hubbard"
Save A Lot,40.8732936,-80.6878684,"787 Fairfield Ave, Columbiana"
Save A Lot,41.287634499999996,-81.1003847,"8005 State St, Garrettsville"
Save A Lot,40.7875827,-80.6246257,"7786 Depot St, Rogers"
Save A Lot,41.230956799999994,-80.5123266,"110 S Water Ave, Sharon"
Save A Lot,40.772816299999995,-80.7662723,"201 E Lincoln Way, Lisbon"
Dave's Markets Ohio City,41.4850255,-81.705783,"2700 Carroll Ave, Cleveland"
Dave's Supermarket,41.483129999999996,-81.59089279999999,"13130 Shaker Square, Cleveland"
Dave's Markets Middlebury Market,41.0712776,-81.4932022,"871 E Exchange St, Akron"
Dave's Mercado,41.459452,-81.737391,"3565 Ridge Rd, Cleveland"
Dave's Markets Slavic Village,41.4485998,-81.63528120000001,"7422 Harvard Ave, Cleveland"
Dave's Markets Turneytown,41.4245366,-81.6136405,"4948 Turney Rd, Garfield Heights"
Dave's Markets Harvard & Lee,41.4480706,-81.5625777,"16820 Harvard Ave, Cleveland"
Dave's Markets Cedar Hill,41.500953700000004,-81.5931396,"12438 Cedar Rd, Cleveland Heights"
Dave's Markets Wilson Mills,41.5382155,-81.49640140000001,"5100 Wilson Mills Rd, Richmond Heights"
Dave's Markets Severance,41.5175,-81.5530556,"3628 Mayfield Road Severance Town Center, Cleveland Heights"
Dave's Markets Euclid Beach,41.5786111,-81.5694444,"15900 Lakeshore Blvd, Cleveland"
Dave's Market & eatery,41.506246000000004,-81.647824,"1929 E 61st St, Cleveland"
5100 Wilson Mills Rd (Dave's Supermarket),41.5389232,-81.4953402,Richmond Heights
Dave's Markets Shore Center,41.6095408,-81.52338449999999,"22501 Shore Center Dr, Euclid"
Sunshine Market,41.43443,-81.630248,"4595 Warner Rd, Cleveland"
Midtown Market,41.5003126,-81.6634776,"3400 Carnegie Ave, Cleveland"
Simon's Supermarket,41.5053351,-81.6327652,"7973 Euclid Ave, Cleveland"
Zagara's Marketplace,41.506607,-81.56569499999999,"1940 Lee Rd, Cleveland Heights"
West 25th Street Meat Market,41.487200099999995,-81.6603339,"2700 E 40th St, Cleveland"
Heinen's Grocery Store,41.4652935,-81.56363459999999,"16611 Chagrin Blvd, Shaker Heights"
Heinen's Grocery Store,41.3703412,-81.80476259999999,"Heinen's of, 15300 Bagley Rd, Middleburg Heights"
Heinen's of Downtown Cleveland,41.5000366,-81.6861122,"900 Euclid Ave, Cleveland"
Heinen's Grocery Store,41.481684,-81.834753,"19219 Detroit Rd, Rocky River"
Heinen's Grocery Store,41.5003694,-81.51987779999999,"2180 S Green Rd, Cleveland"
Heinen's Grocery Store,41.460235299999994,-82.0175955,"35980 Detroit Rd, Avon"
Heinen's Grocery Store,41.321169399999995,-81.623725,"8383 Chippewa Rd, Brecksville"
Heinen's Grocery Store,41.315591999999995,-81.829797,"18300 Royalton Rd, Strongsville"
Heinen's Grocery Store,41.4631665,-81.4599921,"30849 Pinetree Rd, Pepper Pike"
Heinen's Grocery Store,41.3394444,-81.4383333,"10049 Darrow Rd, Twinsburg"
Heinen's Grocery Store,41.4134014,-81.3388027,"8482 E Washington St, Chagrin Falls"
Heinen's Grocery Store,41.320193599999996,-81.34687590000001,"115 N Chillicothe Rd, Aurora"
Heinen's Grocery Store,41.537751799999995,-81.4401571,"860 Som Center Road, Mayfield, Village, Mayfield Village"
Heinen's Grocery Store,41.483649799999995,-81.92210859999999,"434 Dover Center Rd, Bay Village"
Heinen's Grocery Store,41.431115999999996,-81.38955920000001,"Chagrin Falls 20 Shopping, Center St, Chagrin Falls"
Heinen's Grocery Store,41.2425194,-81.4419667,"19 Clinton St, Hudson"
Heinen's Grocery Store,41.5881157,-81.21880340000001,"402 Center St, Chardon"
Heinen's Grocery Store,41.672846500000006,-81.3233195,"8850 Mentor Ave, Mentor"
Heinen's Grocery Store,41.606722,-81.44226640000001,"34501 Ridge Rd, Willoughby"
Heinen's grocery,41.399263399999995,-81.3344408,Bainbridge
